Razão,Rua,Numero,Latitude,Longitude
CATRIMANI EMPREENDIMENTO IMOBILIARIO SPE LTDA,CATRIMANI,165,-23.5374211,-46.49870850000001
DIALOGO 83 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,DR EDUARDO DE SOUZA ARANHA,153,-23.5883429,-46.6731042
SEED KANSAS EMPREENDIMENTOS SPE LTDA,SAMUEL MORSE,120,-23.6118789,-46.6941265
SEED SABARA EMPREENDIMENTOS SPE LTDA,SAMUEL MORSE,120,-23.6118789,-46.6941265
PONTEVEDRA EMPREENDIMENTO IMOBILIARIO SPE LTDA,VICENZA,112,-23.4886501,-46.6033424
EIXO INTELIGENCIA IMOBILIARIA LTDA,DR CHUCRI ZAIDAN,1550,-23.625516,-46.7023064
CEIRY DROSERA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,FUNCHAL,375,-23.5942334,-46.68948880000001
CEIRY EUGENIO DE MEDEIROS EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,FUNCHAL,375,-23.5942334,-46.68948880000001
SAO JOSE DESENVOLVIMENTO IMOBILIARIO 98 LTDA,QUEIROZ FILHO,1560,-23.5430206,-46.7319497
SAO JOSE DESENVOLVIMENTO IMOBILIARIO 96 LTDA,QUEIROZ FILHO,1560,-23.5430206,-46.7319497
SAO JOSE DESENVOLVIMENTO IMOBILIARIO 97 LTDA,QUEIROZ FILHO,1560,-23.5430206,-46.7319497
SAO JOSE DESENVOLVIMENTO IMOBILIARIO 94 LTDA,QUEIROZ FILHO,1560,-23.5430206,-46.7319497
SAO JOSE DESENVOLVIMENTO IMOBILIARIO 95 LTDA,QUEIROZ FILHO,1560,-23.5430206,-46.7319497
ELBA 534 EMPREENDIMENTO IMOBILIARIO SPE LTDA.,AFONSO BRAZ,644,-23.5951818,-46.67006199999999
BALOO CONSTRUCAO INCORPORACAO E VENDAS LTDA,ROCHA PITA,64,-22.8918454,-43.2720844
JHSF EMPREENDIMENTOS VILLAGE 05 LTDA.,MAGALHAES DE CASTRO,4800,-23.6012749,-46.6980412
RESIDENCIAL ALTINOPOLIS SPE LTDA.,ALTINOPOLIS,478,-23.4827665,-46.6197322
AGUA BRANCA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,SANTOS,1767,-23.5616763,-46.6584553
PACOBA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,SANTOS,1767,-23.5616763,-46.6584553
RESIDENCIAL EVANGELINA EMPREENDIMENTO S.P.E LTDA,EVANGELINA FERREIRA DESTRO,37,-23.4964868,-46.4444033
RITZ ALTINOPOLIS EMPREENDIMENTO IMOBILIARIO SPE LTDA,BARAO DE DUPRAT,315,-23.5413243,-46.6308882
COZZY PARAISO SPE ADMINISTRACAO DE BENS LTDA.,CUBATAO,993,-23.5803763,-46.6414097
DOM ROSALVO EMPREENDIMENTOS IMOBILIARIOS LTDA,GABRIEL MONTEIRO DA SILVA,2578,-23.5762765,-46.6912473
FGJ CONSTRUCOES E EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,RAUL DE FREITAS,190,-23.5274067,-46.543124
MALTA PADUA EMPREENDIMENTOS IMOBILIARIOS SPE EIRELI,DR NATALINO RIGHETO,93,-23.4844766,-46.6116053
DAMATA201 EMPREENDIMENTO IMOBILIARIO LTDA - SCP08,BRIGADEIRO FARIA LIMA,2601,-23.579229,-46.685135
TIGUAN EMPREENDIMENTO IMOBILIARIO LTDA,PRES JUSCELINO KUBITSCHEK,360,-23.5859663,-46.6736921
TAILANDIA EMPREENDIMENTO IMOBILIARIO LTDA,PRES JUSCELINO KUBITSCHEK,360,-23.5859663,-46.6736921
OCEANIC EMPREENDIMENTO IMOBILIARIO LTDA,PRES JUSCELINO KUBITSCHEK,360,-23.5859663,-46.6736921
LOGAN EMPREENDIMENTO IMOBILIARIO LTDA,PRES JUSCELINO KUBITSCHEK,360,-23.5859663,-46.6736921
ZURIQUE EMPREENDIMENTO IMOBILIARIO LTDA,PRES JUSCELINO KUBITSCHEK,360,-23.5859663,-46.6736921
BARILOCHE EMPREENDIMENTO IMOBILIARIO LTDA,PRES JUSCELINO KUBITSCHEK,360,-23.5859663,-46.6736921
PROJETO IMOBILIARIO E 95 LTDA.,FIDENCIO RAMOS,213,-23.5949514,-46.6855093
DEFENDER EMPREENDIMENTO IMOBILIARIO LTDA,PRES JUSCELINO KUBITSCHEK,360,-23.5859663,-46.6736921
AZERA EMPREENDIMENTO IMOBILIARIO LTDA,PRES JUSCELINO KUBITSCHEK,360,-23.5859663,-46.6736921
PROJETO IMOBILIARIO E 93 LTDA.,FIDENCIO RAMOS,213,-23.5949514,-46.6855093
PROJETO IMOBILIARIO E 94 LTDA.,FIDENCIO RAMOS,213,-23.5949514,-46.6855093
PROJETO IMOBILIARIO E 91 LTDA.,FIDENCIO RAMOS,213,-23.5949514,-46.6855093
SONATA EMPREENDIMENTO IMOBILIARIO LTDA,PRES JUSCELINO KUBITSCHEK,360,-23.5859663,-46.6736921
MELBOURNE EMPREENDIMENTO IMOBILIARIO LTDA,PRES JUSCELINO KUBITSCHEK,360,-23.5859663,-46.6736921
PROJETO IMOBILIARIO E 92 LTDA.,FIDENCIO RAMOS,213,-23.5949514,-46.6855093
CAMBURIU 01 PROJETO IMOBILIARIO SPE LTDA,IMP LEOPOLDINA,1271,-23.5323494,-46.7293004
NORBERTO MAYER EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,NORBERTO MAYER,333,-23.5566082,-46.5383428
THINK HOME SANTA CECILIA EMPREENDIMENTOS IMOBILIARIOS LTDA,MARQ DE SAO VICENTE,230,-23.5216434,-46.6621608
RALPH SCHULTZ INCORPORACAO IMOBILIARIA SPE LTDA,PROF GUILHERME MILWARD,223,-23.562997,-46.70903149999999
CAPITAL CONCRETO INCORPORADORA LTDA. - MAIORCA SCP I,TENENTE AGENOR SOARES,68,-23.4948277,-46.6112705
VILLA INCORPORACOES LTDA,VERGUEIRO,2279,-23.5819383,-46.6377299
BAURU 216 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,BRIG FARIA LIMA,3015,-23.5831718,-46.683338
COTIA 607 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,BRIG FARIA LIMA,3015,-23.5831718,-46.683338
VISTA BUTANTA EMPREENDIMENTO IMOBILIARIO SPE LTDA,S GABRIEL,477,-23.5791768,-46.67120389999999
VISTA ITU INCORPORADORA LTDA,SARANDI,98,-23.5638975,-46.6692754
ZITUNE URBANISMO LTDA.,DR ALBUQUERQUE LINS,635,-23.5357111,-46.656324
SW35 EMPREENDIMENTO IMOBILIARIO SPE LTDA.,SANTOS,1343,-23.5643256,-46.65526999999999
SW33 EMPREENDIMENTO IMOBILIARIO SPE LTDA.,SANTOS,1343,-23.5643256,-46.65526999999999
SW34 EMPREENDIMENTO IMOBILIARIO SPE LTDA.,SANTOS,1343,-23.5643256,-46.65526999999999
SW31 EMPREENDIMENTO IMOBILIARIO SPE LTDA.,SANTOS,1343,-23.5643256,-46.65526999999999
SW32 EMPREENDIMENTO IMOBILIARIO SPE LTDA.,SANTOS,1343,-23.5643256,-46.65526999999999
TWE III INCORPORACAO DE EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,ELOI CERQUEIRA,20,-23.5405786,-46.5932167
DF3 EMPREENDIMENTOS IMOBILIARIOS LTDA SCP,SILVA BUENO,1660,-23.5933674,-46.601433
GROELANDIA INCORPORACAO LTDA,JOAQUIM FLORIANO,466,-23.5843951,-46.6750788
ITATIBA MOENDA EMPREENDIMENTOS IMOBILIARIOS E PARTICIPACOES LTDA,NOVE DE JULHO,5109,-23.5781228,-46.6742622
TAVARES EMPREENDIMENTOS IMOBILIARIOS LTDA,CLODOMIRO AMAZONAS,1422,-23.5966867,-46.6764348
RESIDENCIAL CONEGO LADEIRA EMPREENDIMENTO IMOBILIARIO SPE LTDA,CON LADEIRA,357,-23.4776234,-46.6037255
VPS CONSTRUTORA E INCORPORADORA EIRELI,MARIO MARIANI,84,-23.5815105,-46.5108447
GREEN CONCEPT EMPREENDIMENTOS SPE LTDA,DOS CHANES,212,-23.6132375,-46.6686647
CAMPO VERDE 262 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,PEDROSO ALVARENGA,691,-23.5816771,-46.6771335
CONSORCIO OSCAR FREIRE,PRESIDENTE JUSCELINO KUBITSCHEK,360,-23.5859663,-46.6736921
URBANITYSP 03 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,MARQ DE SAO VICENTE,1619,-23.5200393,-46.6767209
ANALIA FRANCO EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,SANTOS,1767,-23.5616763,-46.6584553
JDK EMPREENDIMENTOS IMOBILIARIO RESIDENCIAL VERA CRUZ SPE LTDA,DR GUILHERME CRISTOFFEL,225,-23.488385,-46.6285646
MCP 72 DESENVOLVIMENTO IMOBILIARIO LTDA,ANGELICA,2163,-23.5515149,-46.6601517
MCP 81 DESENVOLVIMENTO IMOBILIARIO LTDA,ANGELICA,2163,-23.5515149,-46.6601517
PY ANTONIO LAMANNA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,ANTONIO LAMANNA,120,-23.5305784,-46.5423277
MANTOVA EMPREENDIMENTO IMOBILIARIO SPE LTDA,S CONSTANCIO,260,-23.5605418,-46.552109
KAAZAA SERVICOS IMOBILIARIOS LTDA.,ENG LUIZ CARLOS BERRINI,828,-23.6039796,-46.6927061
IACRI EMPREENDIMENTOS IMOBILIARIOS EIRELI,JOSE AMANCIO CUNHA,57,-23.4946445,-46.4327538
JAGUARIUNA 790 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,BRIG FARIA LIMA,3015,-23.5831718,-46.683338
M.A.R. LUGANO DESENVOLVIMENTO IMOBILIARIO SPE LTDA.,DR CARDOSO DE MELO,1340,-23.5971451,-46.68714079999999
M.A.R. BAVIERA DESENVOLVIMENTO IMOBILIARIO SPE LTDA.,DR CARDOSO DE MELO,1340,-23.5971451,-46.68714079999999
M.A.R. COLONIA DESENVOLVIMENTO IMOBILIARIO SPE LTDA.,DR CARDOSO DE MELO,1340,-23.5971451,-46.68714079999999
I980 LUIS BARROSO SPE EMPREENDIMENTOS IMOBILIARIOS LTDA.,PRES JUSCELINO KUBITSCHEK,1830,-23.5906331,-46.68662339999999
I920 CEL RODOVALHO SPE EMPREENDIMENTOS IMOBILIARIOS LTDA.,PRES JUSCELINO KUBITSCHEK,1830,-23.5906331,-46.68662339999999
I900 CUNHA GAGO SPE EMPREENDIMENTOS IMOBILIARIOS LTDA.,PRES JUSCELINO KUBITSCHEK,1830,-23.5906331,-46.68662339999999
M.A.R. BASILEIA DESENVOLVIMENTO IMOBILIARIO SPE LTDA.,DR CARDOSO DE MELO,1340,-23.5971451,-46.68714079999999
M.A.R. BREMEN DESENVOLVIMENTO IMOBILIARIO SPE LTDA.,DR CARDOSO DE MELO,1340,-23.5971451,-46.68714079999999
I410 JOSE HOMERO SPE EMPREENDIMENTOS IMOBILIARIOS LTDA.,PRES JUSCELINO KUBITSCHEK,1830,-23.5906331,-46.68662339999999
I890 PAMPLONA SPE EMPREENDIMENTOS IMOBILIARIOS LTDA.,PRES JUSCELINO KUBITSCHEK,1830,-23.5906331,-46.68662339999999
INCORPORADORA PORTAL DO PIRANI LTDA,SALVADOR JORGE VELHO,736,-23.6260506,-46.4660208
EPSON DESENVOLVIMENTO IMOBILIARIO LTDA - SCP 03,LINEU DE PAULA MACHADO,1448,-23.5849704,-46.6987569
CONSORCIO YOU MOEMA,PRESIDENTE JUSCELINO KUBITSCHEK,360,-23.5859663,-46.6736921
I9 PARTICIPACOES SOCIETARIAS EMPREENDIMENTO FINLANDIA SPE LTDA,DR OLAVO EGIDIO,764,-23.5002791,-46.6183158
I9 PARTICIPACOES SOCIETARIAS EMPREENDIMENTO GRECIA SPE LTDA,DR OLAVO EGIDIO,764,-23.5002791,-46.6183158
CEIRY VIII EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,FUNCHAL,375,-23.5942334,-46.68948880000001
SANTOS & SANCHEZ ENGENHARIA LTDA,TOLEDO CASTELANOS,17,-23.5675385,-46.4715524
CEIRY XIV EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,FUNCHAL,375,-23.5942334,-46.68948880000001
CEIRY IX EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,FUNCHAL,375,-23.5942334,-46.68948880000001
CEIRY XVII EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,FUNCHAL,375,-23.5942334,-46.68948880000001
CEIRY XI EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,FUNCHAL,375,-23.5942334,-46.68948880000001
CEIRY X EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,FUNCHAL,375,-23.5942334,-46.68948880000001
CEIRY XVI EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,FUNCHAL,375,-23.5942334,-46.68948880000001
CEIRY XIII EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,FUNCHAL,375,-23.5942334,-46.68948880000001
CEIRY XV EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,FUNCHAL,375,-23.5942334,-46.68948880000001
CEIRY XII EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,FUNCHAL,375,-23.5942334,-46.68948880000001
F2 INVESTIMENT LTDA,JAMARIS,100,-23.6052171,-46.6618196
MORRO DO ESPIA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,MORRO DO ESPIA,105,-23.5861543,-46.5014531
RJ2 CONSTRUTORA E INCORPORADORA EIRELI,FRANCISCO LEITAO,26,-23.5640159,-46.6791565
CONSORCIO YOU AIMBERE,PRESIDENTE JUSCELINO KUBITSCHEK,360,-23.5859663,-46.6736921
LHJ INCORPORACAO E CONSTRUCAO SPE LTDA,BENTA PEREIRA,390,-23.4989651,-46.6419147
IZP CONEGO EMPREENDIMENTOS IMOBILIARIOS LTDA,NATINGUI,442,-23.5508413,-46.69570119999999
IDEA EMPREENDIMENTOS 43 LTDA,NATINGUI,442,-23.5508413,-46.69570119999999
IDEA EMPREENDIMENTOS 45 LTDA,NATINGUI,442,-23.5508413,-46.69570119999999
HORTO EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,SABARA,566,-23.5482524,-46.6558338
IZP ITACEMA EMPREENDIMENTOS IMOBILIARIOS LTDA,NATINGUI,442,-23.5508413,-46.69570119999999
CATARINA VIEIRA INCORPORACAO IMOBILIARIA SPE LTDA,CATARINA VIEIRA,72,-23.5490051,-46.51816110000001
ELASAR EMPREENDIMENTOS E PARTICIPACOES LTDA - SCP REGIMAR,HUNGRIA,514,-23.5823294,-46.6918444
ELASAR EMPREENDIMENTOS E PARTICIPACOES LTDA - SCP AGAPAR,HUNGRIA,514,-23.5823294,-46.6918444
ELASAR EMPREENDIMENTOS E PARTICIPACOES LTDA - SCP EMANCIPADA,HUNGRIA,514,-23.5823294,-46.6918444
ELASAR EMPREENDIMENTOS E PARTICIPACOES LTDA - SCP SANTA SUSANA,HUNGRIA,514,-23.5823294,-46.6918444
ELASAR EMPREENDIMENTOS E PARTIPACOES LTDA - SCP DEVIPAR,HUNGRIA,514,-23.5823294,-46.6918444
ELASAR EMPREENDIMENTOS E PARTICIPACOES LTDA - SCP TUIOMAR,HUNGRIA,514,-23.5823294,-46.6918444
ELASAR EMPREENDIMENTOS E PARTICIPACOES LTDA. - SCP RNK,HUNGRIA,514,-23.5823294,-46.6918444
CEIRY PADRE PEREIRA DE ANDRADE EMPREENDIMENTOS IMOBILIARIOS SPE LTDA SCP,FUNCHAL,375,-23.5942334,-46.68948880000001
RESIDENCIAL DUOMARE EMPREENDIMENTO IMOBILIARIO SPE LTDA,GONCALVES RIBEIRO,781,-23.4889199,-46.4301531
MGRDICH EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,PLINIO SALGADO,245,-23.585888,-46.7349578
VMA INTERMEDIACOES E NEGOCIOS SPE LTDA,PROF JOAO DE OLIVEIRA TORRES,565,-23.5573195,-46.5616586
B/SINCO 10 EMPREENDIMENTO IMOBILIARIO LTDA - SCP ICARO SYDOW,GABRIEL MONTEIRO DA SILVA,2578,-23.5762765,-46.6912473
SETE INCORPORADORA E PARTICIPACOES LTDA,CAMPANELLA,951,-23.5361148,-46.4661065
B/SINCO INCORPORADORA LTDA. - SCP BRIGADEIRO DOM ROSALVO,GABRIEL MONTEIRO DA SILVA,2578,-23.5762765,-46.6912473
VILLA ACQUA CHIARA EMPREENDIMENTO SPE LTDA,VERGUEIRO,2279,-23.5819383,-46.6377299
DIROMA INCORPORADORA LTDA,DIOGO RODRIGUES MARQUES,255,-23.6686214,-46.68323969999999
TORU SAO MATEUS OBRAS E INCORPORACOES SPE LTDA,IMP LEOPOLDINA,1013,-23.5306514,-46.7309891
BDZ PARTICIPACOES E INVESTIMENTOS LTDA,MAIRINQUE,61,-23.593623,-46.6377263
SHANGHAI EMPREENDIMENTO IMOBILIARIO LTDA,PRES JUSCELINO KUBITSCHEK,360,-23.5859663,-46.6736921
LIVINA EMPREENDIMENTO IMOBILIARIO LTDA,PRES JUSCELINO KUBITSCHEK,360,-23.5859663,-46.6736921
TCB EMPREENDIMENTOS E PARTICIPACOES LTDA.,BRIG FARIA LIMA,3600,-23.588454,-46.6826388
CALIFORNIA EMPREENDIMENTOS E PARTICIPACOES LTDA.,BRIG FARIA LIMA,3600,-23.588454,-46.6826388
MONTANA EMPREENDIMENTOS E PARTICIPACOES LTDA,BRIG FARIA LIMA,3600,-23.588454,-46.6826388
CONDADO EMPREENDIMENTOS E PARTICIPACOES LTDA,BRIG FARIA LIMA,3600,-23.588454,-46.6826388
TRISUL ARENGA EMPREENDIMENTOS IMOBILIARIOS LTDA.,PAULISTA,37,-23.5710635,-46.6451532
TRISUL MANGABA EMPREENDIMENTOS IMOBILIARIOS LTDA.,PAULISTA,37,-23.5710635,-46.6451532
TRISUL LOTUS EMPREENDIMENTOS IMOBILIARIOS LTDA.,PAULISTA,37,-23.5710635,-46.6451532
TRISUL DICONDRA EMPREENDIMENTOS IMOBILIARIOS LTDA.,PAULISTA,37,-23.5710635,-46.6451532
B/SINCO INCORPORADORA LTDA. - SCP B/SINCO BRIGADEIRO,GABRIEL MONTEIRO DA SILVA,2578,-23.5762765,-46.6912473
LUSA 5 EMPREENDIMENTOS IMOBILIARIOS LTDA - SCP CLODOMIRO AMAZONAS,BALTHAZAR DA VEIGA,634,-23.5937514,-46.6724348
VNC EMPREENDIMENTOS IMOBILIARIOS LTDA,MONS MARCONDES NITSCH,156,-23.4938166,-46.6427013
MONTECATINI PARTICIPACOES E REPRESENTACOES LTDA,JAU,186,-23.5683822,-46.6519321
G&F EMPREENDIMENTO IMOBILIARIO SPE LTDA,CONS CARRAO,2620,-23.5496958,-46.5369734
SAO JUDAS EMPREENDIMENTOS IMOBILIARIO SPE LTDA,IBIRAPUERA,2102,-23.602704,-46.6618643
JOAL 12 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,DOS JURUPIS,900,-23.6061027,-46.6619341
BE CON EMPREENDIMENTOS IMOBILIARIOS LTDA,EMILIO MALLET,304,-23.5476598,-46.5707606
CNP07 EMPREENDIMENTO IMOBILIARIO LTDA,FIDENCIO RAMOS,302,-23.5946918,-46.6860024
CNP06 EMPREENDIMENTO IMOBILIARIO LTDA,FIDENCIO RAMOS,302,-23.5946918,-46.6860024
CARDOSO ALMEIDA EMPREENDIMENTO IMOBILIARIO SPE LTDA,FIDENCIO RAMOS,302,-23.5946918,-46.6860024
CONDE DE ITU EMPREENDIMENTO IMOBILIARIO SPE LTDA,FIDENCIO RAMOS,302,-23.5946918,-46.6860024
CNP08 EMPREENDIMENTO IMOBILIARIO LTDA,FIDENCIO RAMOS,302,-23.5946918,-46.6860024
TOMAS ALVES EMPREENDIMENTO IMOBILIARIO SPE LTDA,FIDENCIO RAMOS,302,-23.5946918,-46.6860024
HUMBERTO I EMPREENDIMENTO IMOBILIARIO SPE LTDA,FIDENCIO RAMOS,302,-23.5946918,-46.6860024
RESIDENCIAL GREGORIO SOUZA EMPREENDIMENTO SPE LTDA,GREGORIO SOUZA,559,-23.5429588,-46.516168
COSTA DEL SOL EMPREENDIMENTOS IMOBILIARIOS LTDA,TOLEDO BARBOSA,333,-23.5415619,-46.5878526
LAGO NEGRO DESENVOLVIMENTO IMOBILIARIO SPE LTDA,GOMES DE CARVALHO,1108,-23.5974323,-46.6839231
MONTE DOURADO DESENVOLVIMENTO IMOBILIARIO SPE LTDA,GOMES DE CARVALHO,1108,-23.5974323,-46.6839231
MONTANHA PRATEADA DESENVOLVIMENTO IMOBILIARIO SPE LTDA,GOMES DE CARVALHO,1108,-23.5974323,-46.6839231
RIO AZUL DESENVOLVIMENTO IMOBILIARIO SPE LTDA,GOMES DE CARVALHO,1108,-23.5974323,-46.6839231
MAR NEGRO DESENVOLVIMENTO IMOBILIARIO SPE LTDA,GOMES DE CARVALHO,1108,-23.5974323,-46.6839231
CNP05 EMPREENDIMENTO IMOBILIARIO LTDA,FIDENCIO RAMOS,302,-23.5946918,-46.6860024
NETCORP SAO PAULO INCORPORACAO E EMPREENDIMENTO IMOBILIARIO SPE LTDA,MIN ROCHA AZEVEDO,456,-23.5617956,-46.6601678
LAGO DE COMO INCORPORACOES IMOBILIARIAS SPE LTDA,CAP PINTO FERREIRA,104,-23.5718908,-46.6551823
WF EMPREENDIMENTOS IMOBILIARIOS E PARTICIPACOES LTDA,BARBALHA,173,-23.5346698,-46.719456
RT PARTNERS EMPREENDIMENTOS IMOBILIARIOS LTDA,DAS NACOES UNIDAS,18801,-23.652765,-46.721426
MEU PROPRIO LAR HABITACIONAL EIRELI,PROF FRANCISCO PINHEIRO,621,-23.5485627,-46.41497349999999
SYRIUS INCORPORACOES LTDA.,DR BRUNO RANGEL PESTANA,27,-23.5961926,-46.7087602
MK SEBA EMPREENDIMENTOS IMOBILIARIOS EIRELI,JANDAIA DO SUL,240,-23.5308639,-46.5142262
F&T EMPREENDIMENTOS E PARTICIPACOES EIRELI,PDE JOAO MANUEL,755,-23.564323,-46.66422860000001
BOSQUE JARAGUA DESENVOLVIMENTO IMOBILARIO SPE LTDA.,PAIS LEME,524,-23.5678939,-46.70150109999999
LUSA 6 EMPREENDIMENTOS IMOBILIARIOS LTDA - SCP CLAUDIO SOARES,BALTHAZAR DA VEIGA,634,-23.5937514,-46.6724348
PROJETO IMOBILIARIO DI 2 LTDA.,FIDENCIO RAMOS,213,-23.5949514,-46.6855093
PROJETO IMOBILIARIO DI 3 LTDA.,FIDENCIO RAMOS,213,-23.5949514,-46.6855093
PROJETO IMOBILIARIO DI 1 LTDA.,FIDENCIO RAMOS,213,-23.5949514,-46.6855093
RESIDENCIAL LANA INCORPORACOES E EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,GREGORIO DE MATOS,160,-23.5588132,-46.57543510000001
PROJETO IMOBILIARIO DI 5 LTDA.,FIDENCIO RAMOS,213,-23.5949514,-46.6855093
PROJETO IMOBILIARIO DI 6 LTDA.,FIDENCIO RAMOS,213,-23.5949514,-46.6855093
LUSA 15 EMPREENDIMENTOS IMOBILIARIOS LTDA,BALTHAZAR DA VEIGA,634,-23.5937514,-46.6724348
LUSA 12 EMPREENDIMENTOS IMOBILIARIOS LTDA,BALTHAZAR DA VEIGA,634,-23.5937514,-46.6724348
LUSA 10 EMPREENDIMENTOS IMOBILIARIOS LTDA,BALTHAZAR DA VEIGA,634,-23.5937514,-46.6724348
MARECHAL EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,MAL EURICO GASPAR DUTRA,1004,-23.4906274,-46.61388540000001
MARBELLA EMPREENDIMENTOS SPE LTDA.,CEL OCTAVIO AZEREDO,419,-23.4674553,-46.6001665
TK INCORPORADORA E CONSTRUTORA SPE LTDA,PINHEIRO DE ULHOA CINTRA,829,-23.5138104,-46.5041732
RESIDENCIAL SAO FRANCISCO EMPREENDIMENTO IMOBILIARIO SPE LTDA,CHARLES MILLER,1976,-23.5429597,-46.6660258
BMM INCORPORADORA E CONSTRUTORA LTDA,ANGELINA FERNANDES,38,-23.5299578,-46.536632
URBAN CAMPO LIMPO EMPREENDIMENTOS SPE LTDA,NOVE DE JULHO,72,-23.6442563,-46.7008174
QUEBEC PATRIMONIAL LTDA,REPUBLICA DO LIBANO,1921,-23.5970437,-46.6621226
BRACIA PARTICIPACOES E EMPREENDIMENTOS IMOBILIARIOS LTDA,DR LUIZ MIGLIANO,1986,-23.6213455,-46.7419304
CAYNE ENPLAN 66 EMPREENDIMENTO IMOBILIARIO SPE LTDA,IBIRAPUERA,2144,-23.6028718,-46.6619648
CAYNE ENPLAN 18 INVESTIMENTOS IMOBILIARIOS SPE LTDA,IBIRAPUERA,2144,-23.6028718,-46.6619648
CAYNE ENPLAN 67 EMPREENDIMENTO IMOBILIARIO SPE LTDA,IBIRAPUERA,2144,-23.6028718,-46.6619648
LUSA 14 EMPREENDIMENTOS IMOBILIARIOS LTDA,BALTHAZAR DA VEIGA,634,-23.5937514,-46.6724348
LUSA 11 EMPREENDIMENTOS IMOBILIARIOS LTDA,BALTHAZAR DA VEIGA,634,-23.5937514,-46.6724348
U.R.S. ALBANO CONSTRUTORA LTDA,JOVIANIA,29,-23.5444321,-46.4483041
IDEA EMPREENDIMENTOS SPE 23 LTDA - SCP LIKES EMPREENDIMENTOS,NATINGUI,442,-23.5508413,-46.69570119999999
DOVER PATRIMONIAL LTDA,REPUBLICA DO LIBANO,1921,-23.5970437,-46.6621226
BRISTOL INCORPORADORA LTDA,REPUBLICA DO LIBANO,1921,-23.5970437,-46.6621226
CAYNE ENPLAN 65 EMPREENDIMENTO IMOBILIARIO SPE LTDA,IBIRAPUERA,2144,-23.6028718,-46.6619648
GAB EMPREENDIMENTOS IMOBILIARIOS LTDA,GUARARA,364,-23.57224,-46.6587593
NR05 EMPREENDIMENTO IMOBILIARIO SPE LTDA.,ENG LUIZ CARLOS BERRINI,105,-23.5987337,-46.6901535
PARNASI INCORPORADORA, IMOBILIARIA E CONSTRUCOES LTDA,MARIA PAULA,122,-23.5520129,-46.6386871
ICH GESTAO COMERCIAL EM SHOPPING CENTERS LTDA,CUNHA,111,-23.5952367,-46.6377062
ALL ADMINISTRACAO E EMPREENDIMENTO LTDA,PONTINS,225,-23.490739,-46.6299235
CEIRY DOMICIO DA GAMA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA SCP,FUNCHAL,375,-23.5942334,-46.68948880000001
INCORPORADORA E ADMINISTRADORA POMBEVA LTDA SCP,PADRE GARCIA VELHO,73,-23.5623826,-46.6932214
ANUNCIACAO INVESTIMENTOS E PARTICIPACOES LTDA,DR CARDOSO DE MELO,1470,-23.5969245,-46.6874511
SHPAISMAN 118 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,HADDOCK LOBO,1307,-23.5627949,-46.66621809999999
B/SINCO INCORPORADORA LTDA. - SCP OSCAR I,GABRIEL MONTEIRO DA SILVA,2578,-23.5762765,-46.6912473
BIOMA ASSESSORIA, INCORPORACAO E PARTICIPACAO LTDA,PAULISTA,807,-23.5667005,-46.6509627
FREMONT EMPREENDIMENTOS IMOBILIARIOS LTDA.,FIDENCIO RAMOS,101,-23.594692,-46.6846065
RESIDENCIAL ALAKAE SPE LTDA,ENEAS DE BARROS,713,-23.5167802,-46.5342385
START UP XXIV EMPREENDIMENTOS IMOBILIARIOS LTDA,JOAQUIM FLORIANO,466,-23.5843951,-46.6750788
START UP XXV EMPREENDIMENTOS IMOBILIARIOS LTDA,JOAQUIM FLORIANO,466,-23.5843951,-46.6750788
SUKCES 02 DESENVOLVIMENTO IMOBILIARIO LTDA.,BRIGADEIRO FARIA LIMA,2277,-23.5768045,-46.6868062
