Razão,Rua,Numero,Latitude,Longitude
CCISA54 INCORPORADORA LTDA,NORDESTINA,SN,-23.5130315,-46.4269166
CACHOEIRA DO ARARI SPE LTDA,JOSE KAUER,173,-23.5369924,-46.6036605
URBIC 03 SABIA EMPREENDIMENTOS IMOBILIARIOS LTDA,SABIA,641,-23.6018077,-46.663405
CBR MAGIK LZ 04 EMPREENDIMENTOS IMOBILIARIOS LTDA,DOUTOR GENTIL DE MOURA,546,-23.6023213,-46.6095182
RNI INCORPORADORA IMOBILIARIA 452 LTDA,CARIMBO,22,-24.0213867,-46.463504
MAESTRO INCORPORADORA LTDA,RIO IMBURANA,362,-23.5446782,-46.4440945
TICO RIBEIRO DO VALE LTDA,RIBEIRO DO VALE,470,-23.6121313,-46.687203
VITAURBANA II EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,ALVES GUIMARAES,1348,-23.5512881,-46.6812809
FAVARI RESIDENCE INCORPORACOES SPE LTDA,IRMA EMERENCIANA,796,-23.4638203,-46.58046270000001
SPE EMPREENDIMENTO DIAS VIEIRA LTDA,DIAS VIEIRA,410,-23.5965707,-46.7328436
I950 TUIUTI SPE - EMPREENDIMENTOS IMOBILIARIOS LDTA.,TUIUTI,626,-23.5307953,-46.5766935
I230 CORONEL MURSA SPE - EMPREENDIMENTOS IMOBILIARIOS LTDA.,CORONEL MURSA,56,-23.5492571,-46.6174442
34 SP ADOLFO INCORPORADORA SPE LTDA,ADOLFO SCHNABEL,151,-23.5862136,-46.5399841
CONSTRUTORA E INCORPORADORA MURANO - EIRELI,NSRA DA ANUNCIACAO,108,-23.532334,-46.5196459
VIVA BARRA FUNDA SPE EMPREENDIMENTOS IMOBILIARIOS LTDA.,ALVARES PENTEADO,61,-23.5480082,-46.6347496
VILLAGE MOOCA SPE LTDA,OURINHOS,56,-23.5661134,-46.58184910000001
UNITY SPE 02 - EMPREENDIMENTOS IMOBILIARIOS LTDA,BARTOLOMEU DE GUSMAO,290,-23.5857798,-46.6326012
UNITY SPE 01 - EMPREENDIMENTOS IMOBILIARIOS LTDA,BARTOLOMEU DE GUSMAO,290,-23.5857798,-46.6326012
EBM INCORPORACOES 81 SPE LTDA,TEODORO SAMPAIO,1020,-23.5586669,-46.679911
MAM VMM EMPREENDIMENTO IMOBILIARIO SPE LTDA.,PEDROSO ALVARENGA,691,-23.5816771,-46.6771335
R. P. II - EMPREENDIMENTO IMOBILIARIO SPE LTDA,TABAPUA,500,-23.5829323,-46.6755325
BABI ADMINISTRADORA E INCORPORADORA LTDA,ANGELICA,2466,-23.553321,-46.6623126
MAJOR DANTAS CORTEZ EMPREENDIMENTOS SPE LTDA.,ABILIO PEDRO RAMOS,6,-23.4629444,-46.5803405
